hash,count,paths
d41d8cd98f00b204e9800998ecf8427e,14,PropSocialTech_v1(1)/assets/Circular_Convocatoria_Junta.pdf; PropSocialTech_v1(1)/assets/Propuesta_Renovacion_Presidencia.pdf; PropSocialTech_v1(1)/assets/Hoja_Apoyo_Junta.pdf; PropSocialTech_v1/README.md; PropSocialTech_v1/manifesto.md; PropSocialTech_v1/public/index.html; PropSocialTech_v1/public/votacion.html; PropSocialTech_v1/public/validacion.html; PropSocialTech_v1/assets/Circular_Convocatoria_Junta.pdf; PropSocialTech_v1/assets/Propuesta_Renovacion_Presidencia.pdf; PropSocialTech_v1/assets/Hoja_Apoyo_Junta.pdf; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/media/diagrams/matriz-raci-atlantyde.png; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/media/diagrams/matriz-raci-atlantyde.png; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/media/diagrams/matriz-raci-atlantyde.png
d361f009026334e1314d9638f3ffccdb,7,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_MASTER_FINAL_v1/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_Onboarding_Completo/README_onboarding_angel_jose.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/contribution/onboarding/README_onboarding_angel_jose.md
706f6319ced117f867deb0995256e60a,5,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/README_FINAL_ATLANTYDE.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/README_FINAL_ATLANTYDE.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/README.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_MASTER_FINAL_v1/README_FINAL_ATLANTYDE.md
964fabfe5eca02993cc927efc06f9a5e,4,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/README_DEPLOY_ATLANTYDE.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/README_DEPLOY.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/README_DEPLOY_ATLANTYDE.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/README_DEPLOY.md
1529c54fb52bdc0166aa704504d9891c,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_OnboardingBetaTester_IssuesPack/docs/contribution/onboarding-beta-tester.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_Onboarding_Completo/ATLANTYDE_OnboardingBetaTester_IssuesPack/docs/contribution/onboarding-beta-tester.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/contribution/onboarding/ATLANTYDE_OnboardingBetaTester_IssuesPack/docs/contribution/onboarding-beta-tester.md
0d4f6022765892ed435b1e7ab65afb40,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/docs/bienvenida.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/docs/bienvenida.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/bienvenida.md
f4826a6d5391166ac5fd1d97506cd960,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/.github/workflows/verify-signatures.yml; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/.github/workflows/verify-signatures.yml; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/.github/workflows/verify-signatures.yml
e4034186008b68cda956645623b9b173,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/Memoria Estratégica ATLANTYDE.html; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/Memoria Estratégica ATLANTYDE.html; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_MASTER_FINAL_v1/Memoria Estratégica ATLANTYDE.html
25d03b270f438f39a728fd411022c2ee,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3/site/index.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_REPO_UNIFICADO_CII_v3(1)/site/index.md; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/site/index.md
bbedf7176bec2b07680e662b2f3a3476,3,ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_OnboardingCreativo_IssuesPack/atlantyde_issues_creativo_beta.csv; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_Onboarding_Completo/ATLANTYDE_OnboardingCreativo_IssuesPack/atlantyde_issues_creativo_beta.csv; ATLANTYDE_REPO_FINAL_VALIDADO_with_manifesto/ATLANTYDE_LABS_REPO_FINAL_COMPLETO_MKII/docs/contribution/onboarding/ATLANTYDE_OnboardingCreativo_IssuesPack/atlantyde_issues_creativo_beta.csv
